[980, 1014]
[980, 1019]
[994, 998]
[1008, 1020]
[1010, 1014]
[1010, 1019]
[1017, 1020]
[1028, 1032]
[1029, 1032]
[1067, 1068]
[1107, 1174]
[1107, 1176]
[1107, 1177]
[1108, 1125]
[1109, 1168]
[1109, 1169]
[1109, 1172]
[1118, 1165]
[1118, 1166]
[1119, 1144]
[1120, 1145]
[1120, 1148]
[1120, 1153]
[1121, 1154]
[1122, 1161]
[1123, 1140]
[1124, 1126]
[1124, 1127]
[1124, 1128]
[1124, 1132]
[1124, 1133]
[1126, 1132]
[1127, 1132]
[1128, 1132]
[1137, 1199]
[1138, 1198]
[1139, 1198]
[1146, 1152]
[1149, 1150]
[1183, 1192]
[1184, 1192]
[1185, 1188]
[1185, 1189]
[1185, 1190]
[1185, 1192]
